invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,Sales,Profit,Month,Weekday,hour,rating_group,profit_per_unit
1,WALM003,San Antonio,Health and beauty,74.69,7.0,2019-01-05,13:08:00,Ewallet,9.1,0.48,522.8299999999999,250.95839999999995,1,Saturday,13,Excellent,35.85119999999999
2,WALM048,Harlingen,Electronic accessories,15.28,5.0,2019-03-08,10:29:00,Cash,9.6,0.48,76.39999999999999,36.672,3,Friday,10,Excellent,7.3344
3,WALM067,Haltom City,Home and lifestyle,46.33,7.0,2019-03-03,13:23:00,Credit card,7.4,0.33,324.31,107.0223,3,Sunday,13,Good,15.2889
4,WALM064,Bedford,Health and beauty,58.22,8.0,2019-01-27,20:33:00,Ewallet,8.4,0.33,465.76,153.70080000000002,1,Sunday,20,Very Good,19.212600000000002
5,WALM013,Irving,Sports and travel,86.31,7.0,2019-02-08,10:37:00,Ewallet,5.3,0.48,604.1700000000001,290.0016,2,Friday,10,Poor,41.4288
6,WALM026,Denton,Electronic accessories,85.39,7.0,2019-03-25,18:30:00,Ewallet,4.1,0.48,597.73,286.9104,3,Monday,18,Poor,40.987199999999994
7,WALM088,Cleburne,Electronic accessories,68.84,6.0,2019-02-25,14:36:00,Ewallet,5.8,0.33,413.04,136.3032,2,Monday,14,Poor,22.717200000000002
8,WALM100,Canyon,Home and lifestyle,73.56,10.0,2019-02-24,11:38:00,Ewallet,8.0,0.18,735.6,132.408,2,Sunday,11,Very Good,13.240799999999998
9,WALM066,Grapevine,Health and beauty,36.26,2.0,2019-01-10,17:15:00,Credit card,7.2,0.33,72.52,23.9316,1,Thursday,17,Good,11.9658
10,WALM065,Texas City,Food and beverages,54.84,3.0,2019-02-20,13:27:00,Credit card,5.9,0.33,164.52,54.2916,2,Wednesday,13,Poor,18.0972
11,WALM013,Irving,Fashion accessories,14.48,4.0,2019-02-06,18:07:00,Ewallet,4.5,0.48,57.92,27.8016,2,Wednesday,18,Poor,6.9504
12,WALM035,San Angelo,Electronic accessories,25.51,4.0,2019-03-09,17:03:00,Cash,6.8,0.48,102.04,48.9792,3,Saturday,17,Fair,12.2448
13,WALM027,Abilene,Electronic accessories,46.95,5.0,2019-02-12,10:25:00,Ewallet,7.1,0.48,234.75,112.67999999999999,2,Tuesday,10,Good,22.535999999999998
14,WALM035,San Angelo,Food and beverages,43.19,10.0,2019-02-07,16:48:00,Ewallet,8.2,0.48,431.9,207.31199999999998,2,Thursday,16,Very Good,20.731199999999998
15,WALM031,Lewisville,Health and beauty,71.38,10.0,2019-03-29,19:21:00,Cash,5.7,0.48,713.8,342.62399999999997,3,Friday,19,Poor,34.2624
16,WALM008,Corpus Christi,Sports and travel,93.72,6.0,2019-01-15,16:19:00,Cash,4.5,0.48,562.3199999999999,269.9136,1,Tuesday,16,Poor,44.9856
17,WALM029,Round Rock,Health and beauty,68.93,7.0,2019-03-11,11:03:00,Credit card,4.6,0.48,482.51000000000005,231.6048,3,Monday,11,Poor,33.086400000000005
18,WALM061,Cedar Park,Sports and travel,72.61,6.0,2019-01-01,10:39:00,Credit card,6.9,0.33,435.65999999999997,143.7678,1,Tuesday,10,Fair,23.961299999999998
19,WALM053,Conroe,Food and beverages,54.67,3.0,2019-01-21,18:00:00,Credit card,8.6,0.57,164.01,93.48569999999998,1,Monday,18,Very Good,31.161899999999992
20,WALM013,Irving,Home and lifestyle,40.3,2.0,2019-03-11,15:30:00,Ewallet,4.4,0.48,80.6,38.687999999999995,3,Monday,15,Poor,19.343999999999998
21,WALM044,Pharr,Electronic accessories,86.04,5.0,2019-02-25,11:24:00,Ewallet,4.8,0.48,430.20000000000005,206.496,2,Monday,11,Poor,41.2992
22,WALM088,Cleburne,Health and beauty,87.98,3.0,2019-03-05,10:40:00,Ewallet,5.1,0.33,263.94,87.1002,3,Tuesday,10,Poor,29.0334
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,2019-03-15,12:20:00,Credit card,4.4,0.33,66.4,21.912000000000003,3,Friday,12,Poor,10.956000000000001
24,WALM067,Haltom City,Electronic accessories,34.56,5.0,2019-02-17,11:15:00,Ewallet,9.9,0.33,172.8,57.02400000000001,2,Sunday,11,Excellent,11.404800000000002
25,WALM023,Midland,Sports and travel,88.63,3.0,2019-03-02,17:36:00,Ewallet,6.0,0.48,265.89,127.62719999999999,3,Saturday,17,Fair,42.542399999999994
26,WALM001,Houston,Home and lifestyle,52.59,8.0,2019-03-22,19:20:00,Credit card,8.5,0.36,420.72,151.4592,3,Friday,19,Very Good,18.9324
27,WALM072,Lancaster,Fashion accessories,33.52,1.0,2019-02-08,15:31:00,Cash,6.7,0.33,33.52,11.061600000000002,2,Friday,15,Fair,11.061600000000002
28,WALM046,Temple,Fashion accessories,87.67,2.0,2019-03-10,12:17:00,Credit card,7.7,0.48,175.34,84.1632,3,Sunday,12,Good,42.0816
29,WALM012,Garland,Food and beverages,88.36,5.0,2019-01-25,19:48:00,Cash,9.6,0.48,441.8,212.064,1,Friday,19,Excellent,42.4128
30,WALM075,San Marcos,Health and beauty,24.89,9.0,2019-03-15,15:36:00,Cash,7.4,0.33,224.01,73.9233,3,Friday,15,Good,8.2137
31,WALM076,Huntsville,Fashion accessories,94.13,5.0,2019-02-25,19:39:00,Credit card,4.8,0.33,470.65,155.3145,2,Monday,19,Poor,31.062900000000003
32,WALM098,Mineral Wells,Sports and travel,78.07,9.0,2019-01-28,12:43:00,Cash,4.5,0.18,702.6299999999999,126.47339999999997,1,Monday,12,Poor,14.052599999999996
33,WALM021,McAllen,Sports and travel,83.78,8.0,2019-01-10,14:49:00,Cash,5.1,0.48,670.24,321.7152,1,Thursday,14,Poor,40.2144
34,WALM096,Eagle Pass,Health and beauty,96.58,2.0,2019-03-15,10:12:00,Credit card,5.1,0.18,193.16,34.7688,3,Friday,10,Poor,17.3844
35,WALM022,Mesquite,Food and beverages,99.42,4.0,2019-02-06,10:42:00,Ewallet,7.5,0.48,397.68,190.8864,2,Wednesday,10,Good,47.7216
36,WALM095,Big Spring,Sports and travel,68.12,1.0,2019-01-07,12:28:00,Ewallet,6.8,0.33,68.12,22.4796,1,Monday,12,Fair,22.4796
37,WALM041,Mission,Sports and travel,62.62,5.0,2019-03-10,19:15:00,Ewallet,7.0,0.48,313.09999999999997,150.28799999999998,3,Sunday,19,Good,30.057599999999997
38,WALM070,Hurst,Electronic accessories,60.88,9.0,2019-01-15,17:17:00,Ewallet,4.7,0.33,547.9200000000001,180.81360000000004,1,Tuesday,17,Poor,20.090400000000002
39,WALM070,Hurst,Health and beauty,54.92,8.0,2019-03-23,13:24:00,Ewallet,7.6,0.33,439.36,144.9888,3,Saturday,13,Good,18.1236
40,WALM030,Richardson,Home and lifestyle,30.12,8.0,2019-03-03,13:01:00,Cash,7.7,0.48,240.96,115.6608,3,Sunday,13,Good,14.4576
41,WALM033,Pearland,Home and lifestyle,86.72,1.0,2019-01-17,18:45:00,Ewallet,7.9,0.48,86.72,41.6256,1,Thursday,18,Good,41.6256
42,WALM088,Cleburne,Home and lifestyle,56.11,2.0,2019-02-02,10:11:00,Cash,6.3,0.33,112.22,37.0326,2,Saturday,10,Fair,18.5163
43,WALM079,La Porte,Sports and travel,69.12,6.0,2019-02-08,13:03:00,Cash,5.6,0.33,414.72,136.85760000000002,2,Friday,13,Poor,22.809600000000003
44,WALM042,Bryan,Food and beverages,98.7,8.0,2019-03-04,20:39:00,Cash,7.6,0.48,789.6,379.008,3,Monday,20,Good,47.376
45,WALM036,Allen,Health and beauty,15.37,2.0,2019-03-16,19:47:00,Cash,7.2,0.48,30.74,14.755199999999999,3,Saturday,19,Good,7.377599999999999
46,WALM056,Rowlett,Electronic accessories,93.96,4.0,2019-03-09,18:00:00,Cash,9.5,0.33,375.84,124.0272,3,Saturday,18,Excellent,31.0068
47,WALM058,Port Arthur,Health and beauty,56.69,9.0,2019-02-27,17:24:00,Credit card,8.4,0.33,510.21,168.3693,2,Wednesday,17,Very Good,18.707700000000003
48,WALM015,Grand Prairie,Food and beverages,20.01,9.0,2019-02-06,15:47:00,Ewallet,4.1,0.48,180.09,86.4432,2,Wednesday,15,Poor,9.604800000000001
49,WALM063,Georgetown,Electronic accessories,18.93,6.0,2019-02-10,12:45:00,Credit card,8.1,0.33,113.58,37.4814,2,Sunday,12,Very Good,6.2469
50,WALM021,McAllen,Fashion accessories,82.63,10.0,2019-03-19,17:08:00,Ewallet,7.9,0.48,826.3,396.62399999999997,3,Tuesday,17,Good,39.6624
51,WALM089,Southlake,Food and beverages,91.4,7.0,2019-02-03,10:19:00,Cash,9.5,0.33,639.8000000000001,211.13400000000004,2,Sunday,10,Excellent,30.162000000000006
52,WALM093,Angleton,Food and beverages,44.59,5.0,2019-02-10,15:10:00,Cash,8.5,0.33,222.95000000000002,73.57350000000001,2,Sunday,15,Very Good,14.714700000000002
53,WALM041,Mission,Fashion accessories,17.87,4.0,2019-03-22,14:42:00,Ewallet,6.5,0.48,71.48,34.3104,3,Friday,14,Fair,8.5776
54,WALM045,Missouri City,Fashion accessories,15.43,1.0,2019-01-25,15:46:00,Credit card,6.1,0.48,15.43,7.4064,1,Friday,15,Fair,7.4064
55,WALM005,Fort Worth,Home and lifestyle,16.16,2.0,2019-03-07,11:49:00,Ewallet,6.5,0.48,32.32,15.5136,3,Thursday,11,Fair,7.7568
56,WALM042,Bryan,Electronic accessories,85.98,8.0,2019-02-28,19:01:00,Cash,8.2,0.48,687.84,330.1632,2,Thursday,19,Very Good,41.2704
57,WALM003,San Antonio,Home and lifestyle,44.34,2.0,2019-03-27,11:26:00,Cash,5.8,0.36,88.68,31.9248,3,Wednesday,11,Poor,15.9624
58,WALM070,Hurst,Health and beauty,89.6,8.0,2019-02-07,11:28:00,Ewallet,6.6,0.33,716.8,236.54399999999998,2,Thursday,11,Fair,29.567999999999998
59,WALM066,Grapevine,Home and lifestyle,72.35,10.0,2019-01-20,15:55:00,Cash,5.4,0.33,723.5,238.75500000000002,1,Sunday,15,Poor,23.875500000000002
60,WALM031,Lewisville,Electronic accessories,30.61,6.0,2019-03-12,20:36:00,Cash,9.3,0.48,183.66,88.15679999999999,3,Tuesday,20,Excellent,14.692799999999998
61,WALM042,Bryan,Sports and travel,24.74,3.0,2019-02-15,17:47:00,Credit card,10.0,0.48,74.22,35.6256,2,Friday,17,Excellent,11.8752
62,WALM078,Del Rio,Home and lifestyle,55.73,6.0,2019-02-24,10:55:00,Ewallet,7.0,0.33,334.38,110.3454,2,Sunday,10,Good,18.3909
63,WALM037,League City,Sports and travel,55.07,9.0,2019-02-03,13:40:00,Ewallet,10.0,0.48,495.63,237.9024,2,Sunday,13,Excellent,26.4336
64,WALM069,Rockwall,Sports and travel,15.81,10.0,2019-03-06,12:27:00,Credit card,8.6,0.33,158.1,52.173,3,Wednesday,12,Very Good,5.2173
65,WALM087,Waxahachie,Health and beauty,75.74,4.0,2019-02-14,14:35:00,Cash,7.6,0.33,302.96,99.9768,2,Thursday,14,Good,24.9942
66,WALM042,Bryan,Health and beauty,15.87,10.0,2019-03-13,16:40:00,Cash,5.8,0.48,158.7,76.17599999999999,3,Wednesday,16,Poor,7.617599999999999
67,WALM020,Killeen,Health and beauty,33.47,2.0,2019-02-10,15:43:00,Ewallet,6.7,0.48,66.94,32.1312,2,Sunday,15,Fair,16.0656
68,WALM029,Round Rock,Fashion accessories,97.61,6.0,2019-01-07,15:01:00,Ewallet,9.9,0.48,585.66,281.11679999999996,1,Monday,15,Excellent,46.852799999999995
69,WALM079,La Porte,Sports and travel,78.77,10.0,2019-01-24,10:04:00,Cash,6.4,0.33,787.6999999999999,259.941,1,Thursday,10,Fair,25.994099999999996
70,WALM035,San Angelo,Health and beauty,18.33,1.0,2019-02-02,18:50:00,Cash,4.3,0.48,18.33,8.798399999999999,2,Saturday,18,Poor,8.798399999999999
